tra_or_occ,mid_time,mid_time_err,epoch
tra,2454515.5242055417,0.00043,-1640
occ,2454769.281145573,0.0008,-1408
occ,2454773.6473455727,0.0006,-1404
tra,2454836.4026339813,0.00028,-1346
tra,2454840.7681639795,0.00062,-1342
tra,2455140.9090439985,0.00042,-1067
tra,2455147.457843997,0.00043,-1061
tra,2455163.8298439933,0.00032,-1046
tra,2455172.5606139903,0.00036,-1038
occ,2455194.9336339836,0.001,-1018
occ,2455202.5754839806,0.0022,-1011
tra,2455209.668183978,0.00046,-1004
tra,2455210.7607439784,0.00041,-1003
tra,2455230.405923972,0.00019,-985
tra,2455254.4179439656,0.00043,-963
tra,2455494.529224,0.00072,-743
tra,2455498.895133999,0.00079,-739
tra,2455509.8089439976,0.00037,-729
tra,2455510.9014139976,0.00031,-728
occ,2455517.9943739953,0.00118,-722
tra,2455518.5399339953,0.0004,-721
tra,2455542.551333989,0.0004,-699
tra,2455542.551963989,0.00028,-699
tra,2455566.563083981,0.00028,-677
occ,2455576.931233978,0.0009,-668
occ,2455587.846533974,0.0017,-658
tra,2455590.574843974,0.00068,-655
tra,2455598.2147539714,0.00035,-648
tra,2455600.3972339705,0.00029,-646
tra,2455601.4893339705,0.00024,-645
tra,2455603.6718439697,0.00029,-643
tra,2455623.317523965,0.00039,-625
tra,2455876.5270939968,0.00027,-393
tra,2455887.4412139948,0.00021,-383
tra,2455888.5326339947,0.00027,-382
tra,2455890.7155839936,0.00024,-380
tra,2455903.8128039907,0.00032,-368
occ,2455910.908233988,0.0013,-362
tra,2455920.1834539855,0.00031,-353
tra,2455923.457733984,0.00022,-350
occ,2455924.003933984,0.0021,-350
tra,2455946.3774639764,0.00018,-329
occ,2455946.9221339766,0.0018,-329
tra,2455947.469383976,0.00017,-328
tra,2455948.5603539757,0.00033,-327
tra,2455951.834573975,0.00011,-324
tra,2455952.926433974,0.0001,-323
tra,2455959.4746639724,0.00017,-317
tra,2455960.5660939724,0.00032,-316
tra,2455970.3886439693,0.00039,-307
tra,2455971.480343969,0.00035,-306
tra,2455982.3943239665,0.00034,-296
tra,2455983.486183966,0.00035,-295
tra,2455984.577203966,0.00032,-294
tra,2455985.6689839656,0.00042,-293
tra,2455996.5830139644,0.00037,-283
tra,2456005.314563963,0.00037,-275
tra,2456006.405603963,0.00031,-274
tra,2456245.426512422,0.00033,-55
tra,2456249.793262421,0.00039,-51
tra,2456273.8043624144,0.0003,-29
tra,2456282.535062412,0.0003,-21
tra,2456284.7177924113,0.0003,-19
tra,2456297.8152724067,0.0003,-7
tra,2456302.181012405,0.00046,-3
tra,2456305.4545824043,0.00024,0
tra,2456319.6434623995,0.00038,13
tra,2456328.3747823974,0.00027,21
tra,2456329.466552397,0.00029,22
tra,2456604.504112423,0.00021,274
tra,2456605.595462423,0.0003,275
tra,2456606.686822423,0.00033,276
tra,2456607.7786024227,0.00071,277
tra,2456629.6064824173,0.00019,297
tra,2456630.698392417,0.00043,298
occ,2456638.8851124146,0.0011,305
occ,2456642.1582924137,0.00141,308
tra,2456654.7096924093,0.00034,320
tra,2456659.0752024082,0.00034,324
tra,2456662.3493624073,0.00019,327
tra,2456663.4405824067,0.00019,328
tra,2456664.5317824064,0.00031,329
tra,2456674.354822403,0.00028,338
tra,2456677.629612402,0.00032,341
tra,2456688.5430623987,0.0004,351
tra,2456694.000832397,0.00029,356
tra,2456703.8233923945,0.00029,365
tra,2456711.4633723926,0.00025,372
tra,2456719.1035023914,0.00034,379
tra,2456721.2861423907,0.00034,381
tra,2456722.377292391,0.00046,382
tra,2456986.501172419,0.00043,624
tra,2457010.512202413,0.00039,646
tra,2457012.6953924117,0.00049,648
tra,2457045.437532401,0.00046,678
tra,2457046.5294124004,0.00049,679
tra,2457059.626352397,0.00035,691
tra,2457060.7176123965,0.00036,692
tra,2457067.266372395,0.00022,698
tra,2457068.3575623943,0.0002,699
tra,2457103.283452389,0.00031,731
tra,2457345.5778808473,0.00042,953
tra,2457390.3262908338,0.00033,994
tra,2457391.417390833,0.00033,995
tra,2457426.3424508222,0.00055,1027
tra,2457427.434170822,0.00023,1028
tra,2457451.4453808167,0.00021,1050
tra,2457671.9124508523,0.00035,1252
tra,2457691.5580908507,0.00025,1270
tra,2457703.5630908483,0.00034,1281
tra,2457706.837120848,0.00037,1284
tra,2457726.483210843,0.00028,1302
tra,2457727.5746808425,0.00023,1303
tra,2457765.7743492564,0.00028,1338
tra,2457766.865529256,0.00039,1339
occ,2457769.594929255,0.00136,1341
tra,2457772.323269254,0.00024,1344
tra,2457773.4143692534,0.00022,1345
tra,2457776.687889253,0.00029,1348
tra,2457781.053379251,0.00043,1352
tra,2457781.0548592512,0.00036,1352
tra,2457786.5112992497,0.00026,1357
tra,2457788.6938392487,0.00048,1359
tra,2457800.6989792455,0.00032,1370
tra,2457808.339399244,0.0004,1377
tra,2457809.431099244,0.00018,1378
tra,2457810.5224692435,0.00021,1379
occ,2457830.7130892407,0.0011,1397
tra,2458026.622879279,0.00056,1577
tra,2458050.6343892775,0.00023,1599
tra,2458060.457899276,0.0003,1608
tra,2458073.5542892735,0.00022,1620
tra,2458074.6457092734,0.00034,1621
tra,2458077.9202692728,0.00028,1624
tra,2458123.759309259,0.00027,1666
tra,2458124.851029258,0.00035,1667
tra,2458132.490409256,0.00031,1674
tra,2458134.673909255,0.00032,1676
tra,2458136.856799254,0.00033,1678
tra,2458155.4095992483,0.0005,1695
tra,2458155.4107192485,0.00031,1695
tra,2458156.501869248,0.00032,1696
tra,2458159.7769292477,0.00091,1699
tra,2458161.959109247,0.00035,1701
tra,2458161.958839247,0.00026,1701
tra,2458163.0504492465,0.00021,1702
tra,2458163.0500892466,0.00034,1702
tra,2458166.3249492454,0.00034,1705
tra,2458178.3302392433,0.00038,1716
tra,2458411.8941492783,0.0004,1930
tra,2458471.921769264,0.00026,1985
occ,2458485.5634392602,0.0014,1997
tra,2458494.8418992567,0.0003,2006
occ,2458499.7549192547,0.00077,2010
occ,2458504.1190792536,0.00087,2014
tra,2458506.8467792524,0.00044,2017
occ,2458508.483789252,0.00091,2018
occ,2458517.2156092497,0.00074,2026
