tra_or_occ,mid_time,mid_time_err,epoch,,
tra,2454515.52496,0.00043,-1640,,
occ,2454769.28190,0.00080,-1408,,
occ,2454773.64810,0.00060,-1404,,
tra,2454836.40340,0.00028,-1346,,
tra,2454840.76893,0.00062,-1342,,
tra,2455140.90981,0.00042,-1067,,
tra,2455147.45861,0.00043,-1061,,
tra,2455163.83061,0.00032,-1046,,
tra,2455172.56138,0.00036,-1038,,
occ,2455194.93440,0.00100,-1018,,
occ,2455202.57625,0.00220,-1011,,
tra,2455209.66895,0.00046,-1004,,
tra,2455210.76151,0.00041,-1003,,
tra,2455230.40669,0.00019,-985,,
tra,2455254.41871,0.00043,-963,,
tra,2455494.52999,0.00072,-743,,
tra,2455498.89590,0.00079,-739,,
tra,2455509.80971,0.00037,-729,,
tra,2455510.90218,0.00031,-728,,
occ,2455517.99514,0.00118,-722,,
tra,2455518.54070,0.00040,-721,,
tra,2455542.55273,0.00028,-699,,
tra,2455566.56385,0.00028,-677,,
occ,2455576.93200,0.00090,-668,,
occ,2455587.84730,0.00170,-658,,
tra,2455590.57561,0.00068,-655,,
tra,2455598.21552,0.00035,-648,,
tra,2455600.39800,0.00029,-646,,
tra,2455601.49010,0.00024,-645,,
tra,2455603.67261,0.00029,-643,,
tra,2455623.31829,0.00039,-625,,
tra,2455876.52786,0.00027,-393,,
tra,2455887.44198,0.00021,-383,,
tra,2455888.53340,0.00027,-382,,
tra,2455890.71635,0.00024,-380,,
tra,2455903.81357,0.00032,-368,,
occ,2455910.90900,0.00130,-362,,
tra,2455920.18422,0.00031,-353,,
tra,2455923.45850,0.00022,-350,,
occ,2455924.00470,0.00210,-350,,
tra,2455946.37823,0.00018,-329,,
occ,2455946.92290,0.00180,-329,,
tra,2455947.47015,0.00017,-328,,
tra,2455948.56112,0.00033,-327,,
tra,2455951.83534,0.00011,-324,,
tra,2455952.92720,0.00010,-323,,
tra,2455959.47543,0.00017,-317,,
tra,2455960.56686,0.00032,-316,,
tra,2455970.38941,0.00039,-307,,
tra,2455971.48111,0.00035,-306,,
tra,2455982.39509,0.00034,-296,,
tra,2455983.48695,0.00035,-295,,
tra,2455984.57797,0.00032,-294,,
tra,2455985.66975,0.00042,-293,,
tra,2455996.58378,0.00037,-283,,
tra,2456005.31533,0.00037,-275,,
tra,2456006.40637,0.00031,-274,,
tra,2456245.42729,0.00033,-55,,
tra,2456249.79404,0.00039,-51,,
tra,2456273.80514,0.00030,-29,,
tra,2456282.53584,0.00030,-21,,
tra,2456284.71857,0.00030,-19,,
tra,2456297.81605,0.00030,-7,,
tra,2456302.18179,0.00046,-3,,
tra,2456305.45536,0.00024,0,,
tra,2456319.64424,0.00038,13,,
tra,2456328.37556,0.00027,21,,
tra,2456329.46733,0.00029,22,,
tra,2456604.50489,0.00021,274,,
tra,2456605.59624,0.00030,275,,
tra,2456606.68760,0.00033,276,,
tra,2456607.77938,0.00071,277,,
tra,2456629.60726,0.00019,297,,
tra,2456630.69917,0.00043,298,,
occ,2456638.88589,0.00110,305,,
occ,2456642.15907,0.00141,308,,
tra,2456654.71047,0.00034,320,,
tra,2456659.07598,0.00034,324,,
tra,2456662.35014,0.00019,327,,
tra,2456663.44136,0.00019,328,,
tra,2456664.53256,0.00031,329,,
tra,2456674.35560,0.00028,338,,
tra,2456677.63039,0.00032,341,,
tra,2456688.54384,0.00040,351,,
tra,2456694.00161,0.00029,356,,
tra,2456703.82417,0.00029,365,,
tra,2456711.46415,0.00025,372,,
tra,2456719.10428,0.00034,379,,
tra,2456721.28692,0.00034,381,,
tra,2456722.37807,0.00046,382,,
tra,2456986.50195,0.00043,624,,
tra,2457010.51298,0.00039,646,,
tra,2457012.69617,0.00049,648,,
tra,2457045.43831,0.00046,678,,
tra,2457046.53019,0.00049,679,,
tra,2457059.62713,0.00035,691,,
tra,2457060.71839,0.00036,692,,
tra,2457067.26715,0.00022,698,,
tra,2457068.35834,0.00020,699,,
tra,2457103.28423,0.00031,731,,
tra,2457345.57867,0.00042,953,,
tra,2457390.32708,0.00033,994,,
tra,2457391.41818,0.00033,995,,
tra,2457426.34324,0.00055,1027,,
tra,2457427.43496,0.00023,1028,,
tra,2457451.44617,0.00021,1050,,
tra,2457671.91324,0.00035,1252,,
tra,2457691.55888,0.00025,1270,,
tra,2457703.56388,0.00034,1281,,
tra,2457706.83791,0.00037,1284,,
tra,2457726.48400,0.00028,1302,,
tra,2457727.57547,0.00023,1303,,
tra,2457765.77515,0.00028,1338,,
tra,2457766.86633,0.00039,1339,,
occ,2457769.59573,0.00136,1341,,
tra,2457772.32407,0.00024,1344,,
tra,2457773.41517,0.00022,1345,,
tra,2457776.68869,0.00029,1348,,
tra,2457781.05566,0.00036,1352,,
tra,2457786.51210,0.00026,1357,,
tra,2457788.69464,0.00048,1359,,
tra,2457800.69978,0.00032,1370,,
tra,2457808.34020,0.00040,1377,,
tra,2457809.43190,0.00018,1378,,
tra,2457810.52327,0.00021,1379,,
occ,2457830.71389,0.00110,1397,,
tra,2458026.62368,0.00056,1577,,
tra,2458050.63519,0.00023,1599,,
tra,2458060.45870,0.00030,1608,,
tra,2458073.55509,0.00022,1620,,
tra,2458074.64651,0.00034,1621,,
tra,2458077.92107,0.00028,1624,,
tra,2458123.76011,0.00027,1666,,
tra,2458124.85183,0.00035,1667,,
tra,2458132.49121,0.00031,1674,,
tra,2458134.67471,0.00032,1676,,
tra,2458136.85760,0.00033,1678,,
tra,2458155.41040,0.00050,1695,,
tra,2458156.50267,0.00032,1696,,
tra,2458159.77773,0.00091,1699,,
tra,2458161.95991,0.00035,1701,,
tra,2458163.05089,0.00034,1702,,
tra,2458166.32575,0.00034,1705,,
tra,2458178.33104,0.00038,1716,,
tra,2458411.89495,0.00040,1930,,
tra,2458471.92257,0.00026,1985,,
occ,2458485.56424,0.00140,1997,,
tra,2458494.84270,0.00030,2006,,
occ,2458499.75572,0.00077,2010,,
occ,2458504.11988,0.00087,2014,,
tra,2458506.84758,0.00044,2017,,
occ,2458508.48459,0.00091,2018,,
occ,2458517.21641,0.00074,2026,,